date,state,city,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-12-29,GO,Cachoeira de Goiás,25,0,1351.0,1862.89121,0.0
2020-12-29,GO,Caiapônia,284,4,18913.0,1486.36625,0.0141
2020-12-29,GO,Caldas Novas,3014,63,91162.0,3234.0443800000007,0.0209
2020-12-29,GO,Caldazinha,117,2,3804.0,3040.54054,0.0171
2020-12-29,GO,Campestre de Goiás,193,2,3630.0,5289.12031,0.0104
2020-12-29,GO,Campinaçu,126,0,3640.0,3469.163,0.0
2020-12-29,GO,Campinorte,499,8,12626.0,3909.43278,0.016
2020-12-29,GO,Campo Alegre de Goiás,45,1,7589.0,581.54562,0.0222
2020-12-29,GO,Campo Limpo de Goiás,122,2,7789.0,1536.52393,0.0164
2020-12-29,GO,Campos Belos,402,8,19887.0,2009.29675,0.0199
